"region"	"year"	"population"	"cases_low"	"cases"	"cases_high"	"deaths_low"	"deaths"	"deaths_high"
"Africa"	2000	566541740	1.95e+08	211089820	2.29e+08	815000	840915	875000
"Africa"	2001	582446660	1.97e+08	215879554	2.37e+08	806000	834330	873000
"Africa"	2002	598937190	1.96e+08	213799385	2.34e+08	769000	795664	831000
"Africa"	2003	615967580	1.99e+08	216401199	2.37e+08	748000	774451	810000
"Africa"	2004	633618001	1.98e+08	216335188	2.42e+08	725000	754012	807000
"Africa"	2005	651866078	1.96e+08	212856354	2.35e+08	704000	729200	771000
"Africa"	2006	670719418	1.95e+08	212073244	2.34e+08	696000	721873	764000
"Africa"	2007	690210022	1.95e+08	211773290	2.32e+08	679000	704916	742000
"Africa"	2008	710329157	1.96e+08	211953110	2.3e+08	660000	684925	717000
"Africa"	2009	731052709	1.99e+08	215949937	2.37e+08	643000	671222	714000
"Africa"	2010	752483002	1.99e+08	216716235	2.39e+08	623000	653024	7e+05
"Africa"	2011	774632776	1.98e+08	214366744	2.34e+08	590000	616838	656000
"Africa"	2012	797177551	1.99e+08	214135861	2.33e+08	556000	583635	622000
"Africa"	2013	820127488	1.97e+08	213649463	2.32e+08	542000	570160	613000
"Africa"	2014	843365783	1.91e+08	211298150	2.33e+08	516000	549364	601000
"Africa"	2015	866950179	1.92e+08	211088430	2.32e+08	509000	541632	598000
"Africa"	2016	891196712	1.93e+08	210772642	2.31e+08	511000	542311	6e+05
"Africa"	2017	915840445	2.01e+08	218442674	2.38e+08	522000	555248	619000
"Africa"	2018	940840305	1.98e+08	215442566	2.36e+08	508000	541171	614000
"Africa"	2019	966465940	1.99e+08	217915997	2.4e+08	509000	544165	628000
"Africa"	2020	992736767	2.08e+08	231933554	2.6e+08	559000	599400	722000
"Africa"	2021	1019238524	2.1e+08	233829474	2.62e+08	553000	593470	728000
"Americas"	2000	109669858	1400000	1548657	1710000	776	919	1124
"Americas"	2001	111470861	1169000	1296757	1431000	699	832	1039
"Americas"	2002	113238792	1078000	1182832	1297000	622	765	976
"Americas"	2003	114966694	1067000	1159333	1262000	581	725	938
"Americas"	2004	116666896	1069000	1146570	1235000	567	712	919
"Americas"	2005	118351356	1201000	1273211	1359000	539	688	907
"Americas"	2006	120011317	1033000	1097170	1175000	445	584	791
"Americas"	2007	121648634	907000	988539	1073000	381	504	696
"Americas"	2008	123257009	643000	696347	761000	322	470	699
"Americas"	2009	124845461	635000	687600	753000	322	464	686
"Americas"	2010	126403005	746000	818245	901000	354	502	728
"Americas"	2011	127972394	568000	615178	671000	321	464	674
"Americas"	2012	129580259	545000	585401	634000	308	430	607
"Americas"	2013	131176924	530000	575545	630000	337	470	647
"Americas"	2014	132766381	444000	475260	510000	259	348	449
"Americas"	2015	134355812	531000	572722	620000	288	390	505
"Americas"	2016	135910096	637000	688498	749000	379	530	693
"Americas"	2017	137328934	878000	946216	1032000	452	665	902
"Americas"	2018	138565250	861000	929469	1014000	391	572	773
"Americas"	2019	139710625	824000	894123	979000	337	510	703
"Americas"	2020	140873258	599000	646320	7e+05	296	418	556
"Americas"	2021	141983798	554000	596552	646000	247	334	436
"EastMediterranean"	2000	341863678	5500000	6945341	11100000	8500	13609	25600
"EastMediterranean"	2001	350735504	5600000	7169562	11900000	8900	14063	25700
"EastMediterranean"	2002	359751191	5200000	6751568	11900000	8400	13090	25900
"EastMediterranean"	2003	368629707	5e+06	6374197	11100000	7700	12228	24300
"EastMediterranean"	2004	377175619	4200000	5215386	8900000	6600	10487	20600
"EastMediterranean"	2005	385908992	4200000	5412749	9400000	7000	11203	22200
"EastMediterranean"	2006	395462430	4100000	5363013	10100000	7000	11315	24500
"EastMediterranean"	2007	405585796	3800000	4737690	6500000	6100	9591	14700
"EastMediterranean"	2008	415713313	2900000	3675847	5200000	4500	7092	10800
"EastMediterranean"	2009	425906791	2800000	3595279	5300000	4400	6862	10800
"EastMediterranean"	2010	435916580	3400000	4477117	6400000	5500	8634	13400
"EastMediterranean"	2011	445578067	3500000	4605018	6500000	5100	7845	11500
"EastMediterranean"	2012	454556616	3300000	4333295	6100000	5100	7954	11500
"EastMediterranean"	2013	462332268	3300000	4155222	5600000	4900	7517	10700
"EastMediterranean"	2014	469824969	3300000	4006998	5e+06	4800	7524	10800
"EastMediterranean"	2015	477583738	3500000	4315175	5700000	5200	8209	12100
"EastMediterranean"	2016	485733390	4300000	5360578	6900000	5900	9484	14500
"EastMediterranean"	2017	494550984	4100000	5388975	7300000	6000	10243	16800
"EastMediterranean"	2018	504052289	4200000	5634545	7800000	6300	11137	18700
"EastMediterranean"	2019	513985511	4200000	5727478	8200000	6700	11903	20400
"EastMediterranean"	2020	524073331	4100000	5857293	8500000	7000	12727	21600
"EastMediterranean"	2021	534204371	4400000	6195030	9e+06	7500	13413	22600
"Europe"	2000	29069724	NA	32565	NA	NA	0	NA
"Europe"	2001	29228626	NA	23870	NA	NA	0	NA
"Europe"	2002	29403168	NA	20232	NA	NA	0	NA
"Europe"	2003	29606907	NA	16017	NA	NA	0	NA
"Europe"	2004	29848389	NA	9740	NA	NA	0	NA
"Europe"	2005	30117114	NA	5125	NA	NA	0	NA
"Europe"	2006	30412821	NA	2732	NA	NA	0	NA
"Europe"	2007	30719038	NA	1206	NA	NA	0	NA
"Europe"	2008	31036653	NA	587	NA	NA	0	NA
"Europe"	2009	31392060	NA	282	NA	NA	0	NA
"Europe"	2010	31776699	NA	168	NA	NA	0	NA
"Europe"	2011	32177125	NA	82	NA	NA	0	NA
"Europe"	2012	32601198	NA	31	NA	NA	0	NA
"Europe"	2013	33053808	NA	4	NA	NA	0	NA
"Europe"	2014	33536112	NA	2	NA	NA	0	NA
"Europe"	2015	34022563	NA	0	NA	NA	0	NA
"Europe"	2016	34499249	NA	0	NA	NA	0	NA
"Europe"	2017	34947537	NA	0	NA	NA	0	NA
"Europe"	2018	35358291	NA	0	NA	NA	0	NA
"Europe"	2019	35758503	NA	0	NA	NA	0	NA
"Europe"	2020	36166502	NA	0	NA	NA	0	NA
"Europe"	2021	36567077	NA	0	NA	NA	0	NA
"SEAsia"	2000	1278989994	18500000	22845005	28800000	19000	35038	54000
"SEAsia"	2001	1300990001	18800000	23135506	29100000	19000	33981	52000
"SEAsia"	2002	1322946704	17800000	21909307	27700000	18000	32437	50000
"SEAsia"	2003	1344613982	18600000	23099437	29100000	18000	32860	50000
"SEAsia"	2004	1365910125	20200000	25375239	32500000	20000	36371	56000
"SEAsia"	2005	1386715302	21100000	27163552	35900000	21000	37772	61000
"SEAsia"	2006	1406971688	17500000	22532269	30500000	18000	32435	52000
"SEAsia"	2007	1426866515	16900000	22023468	29900000	18000	32598	53000
